,id,type,price,number,order date
65,JAEIF0HF0,clothes,898.33 ,1.00 ,2018/6/28
66,69N2QTRJK,daily use,165.15 ,6.00 ,2020/11/17
67,HQ9TQ9924,sports,109.52 ,2.00 ,2019/3/25
68,MCOLSQ8BM,food,113.09 ,9.00 ,2015/6/6
69,5TTE8YPK0,digital,594.27 ,10.00 ,2019/3/26
70,SX5B7ISSG,food,362.73 ,9.00 ,2016/6/29
71,AWUJNSEF6,daily use,266.00 ,5.00 ,2015/6/29
72,ZZD0TF61L,food,793.90 ,3.00 ,2016/5/19
73,K8A86Z3RB,office supplies,406.41 ,7.00 ,2020/12/8
74,0949VA5DK,sports,316.30 ,8.00 ,2021/10/29
75,INB2P35S5,digital,678.18 ,1.00 ,2019/1/9
76,4A4P6OHFH,digital,222.31 ,5.00 ,2021/4/14
77,OLDT33POA,sports,455.32 ,10.00 ,2019/9/8
78,0FTF8MCEO,clothes,771.18 ,2.00 ,2015/9/19
79,SVMB9WJME,clothes,166.84 ,10.00 ,2018/2/18
80,4ONG7B1VA,digital,521.18 ,4.00 ,2020/9/16
81,6WFR9F41B,digital,67.77 ,0.00 ,2015/2/15
82,V9ZX2JJKX,sports,799.78 ,1.00 ,2020/10/20
83,FLC8ZUQVR,food,438.29 ,2.00 ,2021/2/21
84,2RXV4VHWQ,clothes,237.33 ,8.00 ,2016/9/24
85,B0B5YWBE4,clothes,811.08 ,2.00 ,2020/2/2
86,17E9VNW5S,digital,722.14 ,6.00 ,2018/11/4
87,IEFO18NLQ,daily use,769.81 ,3.00 ,2017/3/9
88,24S7Q7EEX,food,151.33 ,1.00 ,2019/5/14
89,00C8ZJVK1,sports,578.61 ,4.00 ,2015/2/12
90,WVJSLPH6J,clothes,693.42 ,7.00 ,2019/6/13
91,QGPN6PB5W,office supplies,969.22 ,8.00 ,2021/11/27
92,EPK432I29,office supplies,739.95 ,9.00 ,2018/6/18
93,JV416F7HR,digital,294.71 ,9.00 ,2020/8/22
94,G16J4MYNO,digital,532.68 ,8.00 ,2021/6/10
95,JZ2SD517I,sports,105.78 ,6.00 ,2018/7/3
96,J6D6NL784,daily use,231.29 ,6.00 ,2017/2/15
97,63MP00AMH,digital,174.66 ,7.00 ,2016/9/6
98,66TRRNWT0,daily use,710.18 ,9.00 ,2020/7/10
99,XBF0SWY6P,digital,819.36 ,7.00 ,2017/8/22
100,K9HL5GQE4,sports,317.43 ,9.00 ,2018/12/1
101,UMD6K9015,office supplies,209.71 ,1.00 ,2021/12/3
102,CNR5TEOXL,food,928.55 ,6.00 ,2019/4/13
103,7NIZ7LPJS,sports,25.94 ,1.00 ,2021/1/8
104,GMUPWIK1N,sports,45.84 ,2.00 ,2021/9/14
105,ZUSHVGZ37,daily use,457.36 ,0.00 ,2020/6/26
106,1OPADRASX,food,299.98 ,8.00 ,2016/4/7
107,J2E1KZIH5,digital,582.63 ,10.00 ,2021/7/15
108,EDHD4JWSU,digital,292.57 ,10.00 ,2017/3/14
109,ANHRGIEK1,office supplies,777.44 ,3.00 ,2017/8/29
110,Y8CE9R3YG,office supplies,529.79 ,5.00 ,2016/11/10
111,ZDBUN64ID,sports,966.21 ,2.00 ,2015/5/11
112,4F2CT8KY7,digital,522.23 ,1.00 ,2016/5/23
113,F5TV2YZPN,sports,125.29 ,5.00 ,2016/6/7
114,7TMRKYPXM,clothes,134.43 ,8.00 ,2017/10/28
115,JN7UFGTEG,food,395.78 ,6.00 ,2015/9/7
116,3YQHQNKHE,clothes,52.82 ,1.00 ,2015/10/13
117,8K54YSS94,food,603.10 ,8.00 ,2019/11/15
118,DYE5OSDWZ,office supplies,325.20 ,10.00 ,2018/8/18
119,LXCOR4QOF,daily use,251.06 ,10.00 ,2021/7/23
120,BXJ3CTM4Q,daily use,552.25 ,4.00 ,2020/5/8
121,ELVG2RRW8,office supplies,98.96 ,7.00 ,2015/9/29
122,GXKYWRRQF,clothes,939.64 ,5.00 ,2016/2/26
123,7NWRJYKKY,food,164.46 ,1.00 ,2019/12/4
124,J9ZYJ86MT,clothes,900.30 ,3.00 ,2021/3/16
125,2IZL8JQQ5,food,736.01 ,9.00 ,2017/10/3
126,1GO4CXLUX,clothes,58.43 ,1.00 ,2017/10/11
127,WFYJC25IL,sports,97.77 ,6.00 ,2019/5/23
128,1DA6S6Q0U,daily use,400.31 ,6.00 ,2015/11/1
129,R8AV421XL,daily use,478.67 ,10.00 ,2017/2/11
130,BD365Y15J,office supplies,120.86 ,4.00 ,2017/2/20
131,OW3HY6IIO,clothes,100.43 ,3.00 ,2018/5/20
132,R9DG3IUV5,daily use,449.80 ,0.00 ,2018/4/28
133,3650QPM09,sports,162.00 ,8.00 ,2016/3/15
134,HG71QK67T,food,347.31 ,10.00 ,2017/12/27
135,HBZF4HHX1,digital,192.28 ,3.00 ,2020/9/26
136,9MIY1YHGV,digital,155.70 ,2.00 ,2019/5/18
137,L3L7NCVH9,food,762.39 ,8.00 ,2016/1/3
138,0GT0YUA2V,clothes,26.13 ,6.00 ,2021/7/31
139,8J6N38TB1,daily use,110.43 ,8.00 ,2017/7/29
140,DGGW1BSK9,digital,198.62 ,1.00 ,2015/9/12
141,5Z7GYXJDH,sports,526.41 ,2.00 ,2019/6/23
142,XOQLG7MJA,sports,56.04 ,1.00 ,2021/6/7
143,OJTKO81CK,food,486.19 ,0.00 ,2017/6/21
144,LOFWMTVG8,food,673.76 ,7.00 ,2020/12/17
145,M1YQMPVHX,daily use,407.17 ,6.00 ,2017/2/19
146,3YBKC7RGJ,sports,118.53 ,1.00 ,2021/4/28
147,SEDFGUF02,digital,327.19 ,2.00 ,2021/9/22
148,Q3JN8CHF9,digital,510.21 ,7.00 ,2017/11/9
149,WPVFQH2NX,sports,721.85 ,2.00 ,2018/2/21
150,VXMHYQBAQ,food,291.28 ,3.00 ,2017/10/23
151,L0D94KIY9,daily use,439.56 ,8.00 ,2016/11/20
152,P793IRBDG,daily use,18.37 ,8.00 ,2017/9/13
153,9L82FGW98,sports,633.55 ,5.00 ,2018/2/16
154,EGYI8A4F4,office supplies,331.89 ,3.00 ,2021/2/24
155,SDCM16I8B,clothes,232.92 ,3.00 ,2020/6/8
156,X1T8LXOXP,sports,592.32 ,3.00 ,2016/2/27
157,F164TGUSD,food,133.44 ,5.00 ,2016/10/23
158,Z8KAVSD2G,office supplies,887.18 ,6.00 ,2020/12/20
159,XCW08A54V,sports,346.00 ,8.00 ,2016/4/16
160,SZQLEGMYH,clothes,684.07 ,1.00 ,2021/6/5
161,1L24T5LPI,office supplies,197.12 ,2.00 ,2015/6/25
162,2UTAPX77S,food,434.99 ,0.00 ,2020/10/19
163,0JJLILUU2,sports,500.36 ,10.00 ,2019/2/7
164,NYBEDL1NZ,daily use,46.02 ,9.00 ,2019/1/18
165,0A4EBJT30,clothes,225.90 ,5.00 ,2019/6/26
166,BX58K5GVP,sports,109.97 ,0.00 ,2019/5/13
167,4EGCIZR44,food,651.50 ,4.00 ,2019/12/4
168,YDEKNDIOR,sports,930.87 ,10.00 ,2018/7/6
169,CPOXZX3FG,clothes,754.74 ,3.00 ,2015/8/26
170,R7IVCGWLN,daily use,761.06 ,7.00 ,2015/2/18
171,1RYL9QX7N,food,352.21 ,5.00 ,2015/9/1
172,HPFO82BWS,digital,99.18 ,9.00 ,2021/11/27
173,Y9EYE0RX0,clothes,943.42 ,8.00 ,2017/10/28
174,PV2FRFZ59,food,346.51 ,3.00 ,2016/4/1
175,OFYTNOJH8,digital,360.99 ,5.00 ,2021/3/29
176,WXLUVGJ7V,digital,584.61 ,0.00 ,2016/4/15
177,D02Z019DP,digital,929.72 ,5.00 ,2021/3/31
178,2990LVHGZ,office supplies,730.14 ,4.00 ,2020/9/23
179,CTTHQL7Y4,office supplies,628.53 ,5.00 ,2015/3/4
180,GB9VMSC67,sports,409.59 ,10.00 ,2015/5/15
181,XAQ6O8MNK,daily use,299.44 ,8.00 ,2016/5/30
182,9BQKPMXHJ,office supplies,960.88 ,1.00 ,2021/4/24
183,LYLHSADC7,sports,428.82 ,3.00 ,2021/4/25
184,FNTY5ZJZZ,food,138.73 ,3.00 ,2017/4/27
185,C7D0L6ON1,food,748.74 ,4.00 ,2017/1/23
186,NTZ8E8R7D,sports,516.48 ,5.00 ,2020/10/8
187,KTOUEN6UL,sports,532.22 ,4.00 ,2021/9/3
188,AJKDH2THD,digital,248.62 ,4.00 ,2020/4/11
189,Z5C04KY6Q,clothes,141.28 ,8.00 ,2016/5/13
190,0NMABW64O,office supplies,205.45 ,10.00 ,2020/11/19
191,78ZB78OOQ,sports,722.39 ,7.00 ,2018/6/20
192,1KS8MD9B2,clothes,423.80 ,8.00 ,2018/9/19
193,0LYAIEO58,digital,128.35 ,9.00 ,2017/5/31
194,7VREKAQCJ,food,175.28 ,6.00 ,2021/1/24
195,24X4YSES4,office supplies,617.36 ,3.00 ,2017/12/23
196,YD4ZN008X,office supplies,597.25 ,8.00 ,2021/9/28
197,KVOFUFWFP,daily use,609.87 ,8.00 ,2015/11/2
198,2B24VZ1Q9,daily use,250.77 ,2.00 ,2021/2/15
199,J9ZZ8H0SD,food,982.09 ,10.00 ,2020/1/6
200,V1TJIHKH1,food,916.95 ,6.00 ,2016/3/19
201,9DQ8NUGKP,clothes,139.36 ,8.00 ,2020/1/25
202,T6D4ZPRQK,food,494.54 ,8.00 ,2017/8/8
203,T6T2SUMXK,clothes,76.50 ,2.00 ,2016/11/30
204,BUWHA3CQO,sports,785.47 ,1.00 ,2018/9/27
205,ZQ7MADNFV,office supplies,199.45 ,4.00 ,2021/12/10
206,ICONT5N68,digital,820.97 ,10.00 ,2020/5/11
207,Z3WZB78IE,office supplies,718.98 ,6.00 ,2015/6/5
208,5EWRLFL0P,office supplies,354.70 ,7.00 ,2021/9/4
209,OOWLUCZG9,clothes,453.23 ,5.00 ,2019/2/20
210,VYFQKKTVG,sports,211.42 ,8.00 ,2019/11/22
211,AAU9EHFN6,office supplies,872.30 ,2.00 ,2020/3/25
212,BL74DCO3X,sports,913.46 ,9.00 ,2016/2/11
213,Z761L620U,food,686.83 ,1.00 ,2016/12/11
214,FQ5UZOGT6,sports,975.98 ,4.00 ,2019/9/13
215,SUSIMTG44,food,748.67 ,8.00 ,2017/5/5
216,S0W25LYXN,office supplies,80.08 ,1.00 ,2020/2/8
217,GB3EQDK70,digital,277.77 ,8.00 ,2015/11/18
218,SFHNID5LH,digital,308.73 ,3.00 ,2020/12/13
219,1JNNO8A56,clothes,458.69 ,7.00 ,2018/5/9
220,EM5XML0B7,daily use,20.36 ,9.00 ,2019/9/28
221,BU9O73Z2U,digital,469.30 ,2.00 ,2021/12/28
222,RL2KZW0V5,daily use,314.38 ,8.00 ,2017/9/21
223,RDUE5QSSH,food,512.18 ,4.00 ,2019/4/5
224,0BLPE5CMC,food,714.24 ,5.00 ,2019/4/28
225,238443Z8B,sports,795.30 ,4.00 ,2016/10/20
226,PY6IZ2G0R,clothes,188.65 ,4.00 ,2016/5/10
227,H3LDRE1YB,food,100.16 ,2.00 ,2015/2/28
228,2H9YZIGVW,office supplies,243.40 ,8.00 ,2017/9/8
229,JUXWYPNGB,food,558.15 ,3.00 ,2017/2/21
230,AXL8AKAJB,sports,182.66 ,1.00 ,2015/10/5
231,1GQGWZVFH,sports,307.87 ,2.00 ,2015/9/9
232,90J9EW22C,clothes,586.27 ,4.00 ,2018/7/15
233,V1CVXNN3B,sports,630.35 ,7.00 ,2017/5/12
234,G0S9FF48U,sports,415.80 ,2.00 ,2020/8/1
235,IVPITWQA8,office supplies,920.77 ,1.00 ,2019/5/20
236,A1E156NAI,clothes,839.33 ,7.00 ,2016/2/19
237,2L7E32Z0R,digital,751.78 ,9.00 ,2015/10/29
238,QNTM3TYQF,food,853.71 ,2.00 ,2020/5/13
239,VHVVXUROD,daily use,221.93 ,8.00 ,2016/2/3
240,MN8M67QL1,food,948.45 ,0.00 ,2019/6/8
241,K49YDGYS5,clothes,269.86 ,10.00 ,2021/9/30
242,ZXJGZ7W48,digital,847.94 ,9.00 ,2015/10/8
243,RR7IUJ27E,sports,149.52 ,2.00 ,2017/3/27
244,MYUW7QF4G,clothes,823.40 ,8.00 ,2021/8/18
245,H5CPJ0TZ4,digital,114.27 ,0.00 ,2017/7/23
246,VUWLG6MRO,sports,51.78 ,10.00 ,2018/11/15
247,39W9SDMHN,digital,883.95 ,2.00 ,2015/7/16
248,0DY3TAKZ2,daily use,335.08 ,8.00 ,2020/9/13
249,XU1MLSOWE,food,307.29 ,9.00 ,2015/4/25
250,DBU3FTAI8,daily use,617.15 ,3.00 ,2019/12/10
251,71P67TRRH,digital,160.70 ,8.00 ,2020/9/1
252,NAV4XHTTN,clothes,543.62 ,10.00 ,2015/2/25
253,SOXT33PJD,daily use,603.37 ,9.00 ,2021/11/12
254,017375WI9,sports,369.41 ,2.00 ,2018/3/3
255,BD4OHM4QF,office supplies,889.52 ,3.00 ,2017/2/13
256,YLA77MH86,office supplies,105.36 ,6.00 ,2017/12/8
257,RNX890M2I,office supplies,562.80 ,0.00 ,2016/12/12
258,0CSLQ3JGX,daily use,547.65 ,10.00 ,2015/7/13
259,BLOC1GCTD,food,950.29 ,4.00 ,2021/2/26
260,2THUIYDDH,clothes,499.39 ,6.00 ,2019/2/18
261,O8ULM7HBK,clothes,512.17 ,4.00 ,2017/4/6
262,N16BFEMB2,food,21.94 ,6.00 ,2019/1/1
263,BRPE0XN2Q,clothes,154.96 ,9.00 ,2016/4/2
264,7N87R9A9V,sports,934.70 ,9.00 ,2016/4/3
265,UJACQMDER,daily use,252.03 ,6.00 ,2018/12/30
266,MU78TS9IH,office supplies,177.14 ,5.00 ,2019/3/11
267,K6LTQUCGE,sports,644.21 ,6.00 ,2017/7/18
268,964HD0OFH,digital,690.10 ,9.00 ,2019/2/10
269,97AEG94W8,food,777.89 ,10.00 ,2017/10/24
270,DN5S9I6XJ,daily use,13.51 ,8.00 ,2020/4/12
271,4K33EKFT2,daily use,610.10 ,9.00 ,2015/5/30
272,K0TRGFOQV,sports,171.10 ,10.00 ,2020/8/8
273,K3UDQSAS7,clothes,910.47 ,8.00 ,2017/12/29
274,GBQJQHJ5V,office supplies,814.03 ,7.00 ,2015/8/8
275,KHFT4NGS3,office supplies,750.42 ,1.00 ,2015/3/20
276,74R5Z10W3,digital,775.42 ,5.00 ,2015/3/11
277,QT4LR64OP,daily use,140.41 ,4.00 ,2016/10/27
278,X4NQA2E1W,clothes,521.34 ,5.00 ,2016/6/1
279,LIFOZULL5,sports,439.73 ,8.00 ,2015/1/9
280,GYXW3HEQC,daily use,566.36 ,4.00 ,2019/11/13
281,R10Z1F7Z7,food,429.11 ,2.00 ,2019/11/15
282,Y2YA1SRA5,clothes,123.61 ,4.00 ,2018/8/22
283,ZK18Y4LYE,office supplies,517.61 ,5.00 ,2021/12/3
284,87HZXWOKO,food,472.13 ,3.00 ,2018/2/2
285,PFAF4KR8M,food,681.83 ,5.00 ,2020/12/15
286,IHZW9OOSJ,clothes,528.30 ,3.00 ,2015/1/18
287,HEARQCDRY,sports,605.25 ,6.00 ,2017/6/25
288,WO8G2NXOT,sports,733.18 ,3.00 ,2016/1/16
289,MH43IQAI9,office supplies,47.72 ,10.00 ,2016/3/14
290,C8BJSPDXO,food,645.78 ,4.00 ,2017/11/9
291,1404GIEZR,sports,132.72 ,7.00 ,2021/3/9
292,3FBENYOG1,office supplies,878.72 ,2.00 ,2015/5/5
293,AARTG1PL2,clothes,741.26 ,0.00 ,2020/5/9
294,D59YRPA4X,office supplies,375.39 ,1.00 ,2016/11/8
295,L9JJL6AQN,daily use,880.69 ,5.00 ,2015/2/3
296,L3FJN9I96,daily use,177.78 ,7.00 ,2021/6/29
297,S0FITNOKG,daily use,929.40 ,10.00 ,2015/4/24
298,8I07G7077,digital,137.32 ,6.00 ,2018/12/23
299,UC0839DLX,daily use,391.81 ,1.00 ,2020/11/9
300,GLEJL6LZ3,daily use,517.31 ,1.00 ,2018/12/13
301,4X53ALMMF,office supplies,810.11 ,3.00 ,2015/9/3
302,YK502JR8X,food,327.90 ,3.00 ,2019/5/5
303,VAMFD5J45,office supplies,754.33 ,2.00 ,2015/12/9
304,I96XLZ71M,clothes,798.20 ,4.00 ,2017/9/24
305,Z977CEA1D,clothes,476.76 ,0.00 ,2021/2/22
306,W9TNDZZPO,office supplies,500.24 ,9.00 ,2019/11/21
307,1Z8O63FN5,daily use,204.37 ,9.00 ,2021/6/12
308,8HKZWWXG9,sports,168.73 ,3.00 ,2020/10/4
309,Z1C5SLYHO,digital,288.29 ,9.00 ,2020/4/21
310,A94X6GUOB,food,402.79 ,6.00 ,2017/1/6
311,84FMFWNJV,daily use,791.48 ,5.00 ,2017/11/21
312,JK2CKKVII,digital,70.76 ,2.00 ,2015/7/11
313,139QFJXLO,sports,394.15 ,0.00 ,2019/7/12
314,1V0435JP8,sports,755.45 ,10.00 ,2015/10/26
315,WOR8LDMLY,sports,979.24 ,0.00 ,2016/5/24
316,GBXLGD4GV,daily use,615.88 ,4.00 ,2015/4/9
317,M1YUDLJSF,sports,673.63 ,8.00 ,2021/7/31
318,OQGHQ1SIJ,sports,283.67 ,4.00 ,2015/5/21
319,CJZW257N3,sports,532.87 ,9.00 ,2015/1/13
320,7M26OPH7F,digital,550.38 ,3.00 ,2018/9/6
321,5M9YJAVZT,clothes,948.81 ,4.00 ,2016/11/6
322,RMP70JLKX,digital,828.63 ,9.00 ,2018/6/27
323,EHGVHM2UG,digital,872.93 ,9.00 ,2015/7/8
324,B4KE2KCMA,digital,316.97 ,4.00 ,2021/11/27
325,WASBSITQH,daily use,136.55 ,3.00 ,2015/12/19
326,P115AS3LN,clothes,571.34 ,7.00 ,2018/3/22
327,XXRC26ZGR,clothes,510.13 ,4.00 ,2018/7/19
328,GDUVTZKEG,sports,511.90 ,2.00 ,2015/2/10
329,SMFQ8N28K,food,144.23 ,3.00 ,2018/12/25
330,JDWYWTCDC,digital,324.61 ,2.00 ,2020/11/17
331,YA1O9HBKA,digital,467.78 ,8.00 ,2021/6/5
332,7RIL5NGO9,clothes,568.74 ,0.00 ,2019/12/13
333,N2TQJ7F3I,digital,134.89 ,2.00 ,2021/4/11
334,G363UV94X,digital,815.53 ,3.00 ,2015/10/17
335,HMU6J70M1,food,571.64 ,0.00 ,2016/9/25
336,AC00SF0WQ,clothes,682.27 ,7.00 ,2015/8/4
337,OYGM13NRC,digital,503.73 ,9.00 ,2015/1/9
338,4G9X20N7A,daily use,86.53 ,0.00 ,2018/8/2
339,7J11Q3Z4U,office supplies,10.83 ,5.00 ,2020/10/13
340,ID0IZOLT3,office supplies,931.50 ,1.00 ,2019/10/2
341,SGR8R56S9,digital,941.27 ,5.00 ,2018/7/12
342,PK9A67DJ2,office supplies,850.02 ,8.00 ,2016/5/1
343,ZHCVFJMEE,clothes,50.66 ,7.00 ,2020/12/22
344,J1UQ9J2IP,digital,901.26 ,4.00 ,2020/11/9
345,YMAJNQIX0,clothes,772.48 ,7.00 ,2021/10/1
346,C9FDSDIEF,sports,74.44 ,1.00 ,2017/1/7
347,9SAN9GG3T,digital,388.86 ,5.00 ,2018/9/6
348,HNYOWJ5T6,clothes,85.34 ,6.00 ,2015/10/28
349,5ZF6MNHDZ,office supplies,487.53 ,2.00 ,2015/12/13
350,R83NZOEO5,office supplies,726.63 ,9.00 ,2015/9/18
351,HZMMOD3R9,digital,229.29 ,3.00 ,2015/11/14
352,79ZVQ6RBP,food,207.31 ,7.00 ,2016/1/8
353,I1TXOEWFD,office supplies,138.39 ,0.00 ,2020/12/23
354,IL9FXLHAX,office supplies,5.15 ,9.00 ,2021/8/22
355,YVU13I444,clothes,695.04 ,0.00 ,2015/2/1
356,M3GNNVXFI,daily use,845.89 ,5.00 ,2018/7/21
357,2F7XRTHGI,daily use,683.30 ,0.00 ,2021/2/23
358,3W9J6D2OU,food,165.19 ,10.00 ,2020/4/5
359,9LEIORWI8,clothes,787.40 ,7.00 ,2018/4/30
360,BXZTNB13B,digital,335.32 ,5.00 ,2018/9/29
361,W3Q6TM75F,sports,683.38 ,4.00 ,2020/11/16
362,5LLO83G1P,digital,413.59 ,5.00 ,2021/5/18
363,NG43LQF2U,clothes,278.44 ,2.00 ,2016/10/4
364,824H7W6DJ,daily use,967.76 ,10.00 ,2015/8/28
365,JFY52N7IP,clothes,93.80 ,9.00 ,2016/9/18
366,RULHQXJA3,sports,886.46 ,4.00 ,2016/12/2
367,SF61MICJ1,clothes,909.48 ,0.00 ,2019/10/16
368,BWHRV9U09,daily use,67.32 ,7.00 ,2016/6/16
369,7OOUBXYUC,sports,441.53 ,0.00 ,2018/6/18
370,GU54UHQ7C,office supplies,695.13 ,4.00 ,2015/7/4
371,I32X85RO2,digital,407.02 ,1.00 ,2016/10/17
372,IWUC56MV1,clothes,294.47 ,5.00 ,2015/5/28
373,3SYQY469G,daily use,833.33 ,3.00 ,2019/6/19
374,OH9PT4C41,digital,571.05 ,10.00 ,2015/7/24
375,1N23HO7WD,daily use,675.88 ,0.00 ,2017/11/25
376,XG3QF7YQ8,sports,278.23 ,5.00 ,2017/6/7
377,JUMXNB5T9,office supplies,40.21 ,10.00 ,2016/3/26
378,0C9VXJJ08,office supplies,373.99 ,0.00 ,2020/11/29
379,N4BKTFEP0,office supplies,675.69 ,7.00 ,2016/10/16
380,XZ6O3VHWP,daily use,587.83 ,3.00 ,2021/3/11
381,1ZPICCQLU,food,476.55 ,9.00 ,2019/4/4
382,U33HVE9DT,daily use,743.83 ,4.00 ,2019/1/19
383,9X4FS630O,daily use,496.62 ,6.00 ,2015/7/18
384,3VQT2J8A3,digital,72.33 ,4.00 ,2016/8/1
385,RPLWRSEJ9,digital,494.92 ,7.00 ,2020/10/13
386,KDUB12W88,food,373.93 ,0.00 ,2016/7/24
387,UZLP51L4T,clothes,781.50 ,2.00 ,2021/5/19
388,2QYCF8GHC,digital,119.94 ,8.00 ,2016/11/23
389,O97AD2U7H,digital,203.90 ,8.00 ,2019/4/17
390,6XGS9T10L,food,260.26 ,1.00 ,2017/6/16
391,0957VOL3D,sports,59.20 ,3.00 ,2020/8/9
392,6K13HF38D,office supplies,367.44 ,7.00 ,2018/6/4
393,IEE2020MY,sports,296.48 ,1.00 ,2017/11/1
394,C6FQTVJ4B,office supplies,710.30 ,4.00 ,2015/3/27
395,HQWTEFFJB,digital,363.52 ,10.00 ,2021/11/19
396,KRK5UKVRN,office supplies,517.59 ,6.00 ,2015/10/21
397,YNHYC5VHP,clothes,722.52 ,4.00 ,2018/1/6
398,6KKAE2PSL,digital,511.11 ,0.00 ,2021/1/27
399,D49RM9YHY,office supplies,926.67 ,9.00 ,2017/2/8
400,PAKPNON5V,digital,379.89 ,6.00 ,2021/9/27
401,TWEYAQ0Q0,digital,68.30 ,5.00 ,2016/1/8
402,SJIIIM2UM,food,552.33 ,8.00 ,2019/7/14
403,4VD1TXI1K,digital,581.52 ,3.00 ,2015/2/12
404,CGP2DQZJU,digital,347.48 ,9.00 ,2021/2/8
405,PHAWN5N4M,food,82.20 ,4.00 ,2021/9/25
406,4CE8PTCNA,digital,97.85 ,5.00 ,2015/5/2
407,5PVJERH9Y,digital,819.53 ,5.00 ,2016/12/13
408,3JVYVZ1MU,daily use,741.59 ,0.00 ,2017/9/5
